Datetime,Output,AmbientHumidity,AmbientTemperature,M1_RawMaterial_1,M1_RawMaterial_2,M1_RawMaterial_3,M1_RawMaterial_4,M1_RawMaterialFeeder,M1_Zone1_Temperature,M1_Zone2_Temperature,M1_MotorAmperage,M1_MotorRPM,M1_MaterialPressure,M1_MaterialTemperature,M1_ExitZoneTemperature,M2_RawMaterial_1,M2_RawMaterial_2,M2_RawMaterial_3,M2_RawMaterial_4,M2_RawMaterialFeeder,M2_Zone1_Temperature,M2_Zone2_Temperature,M2_MotorAmperage,M2_MotorRPM,M2_MaterialPressure,M2_MaterialTemperature,M2_ExitZoneTemperature,M3_RawMaterial_1,M3_RawMaterial_2,M3_RawMaterial_3,M3_RawMaterial_4,M3_RawMaterialFeeder,M3_Zone1_Temperature,M3_Zone2_Temperature,M3_MotorAmperage,M3_MotorRPM,M3_MaterialPressure,M3_MaterialTemperature,M3_ExitZoneTemperature,Stage_1_Temperature1,Stage_1_Temperature2,Stage_1_Temperature3
2019-03-06 10:52:52,2.70950683,17.24,23.53,11.54,200,963,247,1241.780852,72.10010929,72.55000002,49.68437937,10.48154657,429.0676944,76.74999989,75.02464788,12.59,236,601.11,257,218.9692398,69.02700204,69.65614701,72.94009608,13.92443952,244.4730393,69.67910139,60.20065254,9.02,186,421.16,200,215.617445,77.60382202,78.59990937,328.4383374,13.71146157,257.8556073,65.50010607,65,102.1225941,110.1962303,80
2019-03-06 10:52:53,2.7,17.24,23.53,11.54,200,963,247,1244.29,72.1,72.6,49.91,10.48,436.11,76.8,75,12.59,236,601.11,257,215.89,68.98,69.7,73,13.91,246.58,69.6,60.2,9.02,186,421.16,200,201.36,77.6,78.6,334.9,13.6,257.48,65.5,65,101.5,110.3,80
2019-03-06 10:52:54,2.65,17.24,23.53,11.54,200,963,247,1249.3,72.1,72.6,49.64,10.48,426.24,76.8,75.1,12.59,236,601.11,257,210.81,69.01,69.72,72.69,13.87,247.28,69.5,60.2,9.02,186,421.16,200,188.47,77.6,78.6,347.03,13.82,257.52,65.5,65,101.5,110.7,80
2019-03-06 10:52:55,2.65,17.24,23.53,11.54,200,963,247,1241.21,72.1,72.6,49.24,10.48,435.2,76.8,75,12.59,236,601.11,257,218.86,68.97,69.72,73,13.86,243.72,69.7,60.2,9.02,186,421.16,200,217.08,77.6,78.6,348.27,13.73,257.48,65.5,65,101.7,111.2,80
2019-03-06 10:52:56,2.71,17.24,23.53,11.54,200,963,247,1246.2,72.1,72.6,49.51,10.48,435.76,76.8,75,12.59,236,601.11,257,215.15,68.99,69.72,72.94,13.89,241.5,69.5,60.2,9.02,186,421.16,200,225.3,77.6,78.6,345.83,13.56,256.76,65.5,65,101.7,110.6,80
2019-03-06 10:52:57,2.71,17.24,23.53,11.54,200,963,247,1245.59,72.2,72.6,50.32,10.52,440.6,76.9,75,12.59,236,601.11,257,214.27,68.97,69.69,72.81,13.93,245.17,69.7,60.2,9.02,186,421.16,200,221.4,77.7,78.5,351.24,13.66,256.76,65.6,65,101.7,110.2,80
2019-03-06 10:52:58,0,17.24,23.53,11.54,200,963,247,1247.52,72.2,72.6,50.18,10.48,424.61,76.9,75,12.59,236,601.11,257,200.22,69.01,69.71,72.69,13.93,246.68,69.7,60.1,9.02,186,421.16,200,208.94,77.7,78.5,342.59,13.8,256.73,65.6,65,102.3,109.7,80
2019-03-06 10:52:59,0,17.24,23.53,11.54,200,963,247,1242.81,72.2,72.6,50.32,10.52,431.41,76.9,75,12.59,236,601.11,257,219.22,68.99,69.79,72.81,13.91,240.33,69.7,60.1,9.02,186,421.16,200,208.95,77.7,78.5,337.37,13.9,256.24,65.6,65,102.3,110.3,80
2019-03-06 10:53:00,0,17.24,23.53,11.54,200,963,247,1231.7,72.2,72.6,49.24,10.52,431.4,76.9,75.1,12.59,236,601.11,257,206.42,68.98,69.81,73.06,13.92,238.92,69.8,60.1,9.02,186,421.16,200,215.02,77.7,78.5,349.83,13.71,255.99,65.6,65,102.3,110.1,80
2019-03-06 10:53:01,0,17.24,23.53,11.54,200,963,247,1247.27,72.2,72.6,48.84,10.52,436.16,76.9,75,12.59,236,601.11,257,210.14,68.94,69.8,72.94,13.87,244.25,69.7,60.1,9.02,186,421.16,200,202.03,77.7,78.4,344.01,13.53,255.62,65.6,65,102.2,110.3,80
2019-03-06 10:53:02,2.67,17.24,23.53,11.54,200,963,247,1246.47,72.2,72.6,49.1,10.52,432.98,77,75,12.59,236,601.11,257,200.09,68.96,69.8,72.38,13.94,245.38,69.8,60.1,9.02,186,421.16,200,214,77.7,78.4,357.79,13.53,255.97,65.6,65,102.2,110.8,80
2019-03-06 10:53:03,2.67,17.24,23.53,11.54,200,963,247,1244.92,72.2,72.6,49.37,10.45,438.68,77,75,12.59,236,601.11,257,237.01,68.98,69.92,72.75,13.9,241.25,69.8,60,9.02,186,421.16,200,205.43,77.7,78.4,333.32,13.6,255.37,65.6,65,102.2,110.6,80
2019-03-06 10:53:04,2.68,17.24,23.53,11.54,200,963,247,1246.63,72.2,72.6,49.78,10.48,432.92,77,75,12.59,236,601.11,257,215.84,69,69.92,73,13.91,240.42,69.8,60,9.02,186,421.16,200,228.19,77.7,78.4,348.3,13.73,255.5,65.6,65,102.2,110.8,80
2019-03-06 10:53:05,2.68,17.24,23.53,11.54,200,963,247,1247.38,72.2,72.6,49.64,10.52,423.69,77,75,12.59,236,601.11,257,215.36,69.01,69.92,73.25,13.94,241.98,69.9,60,9.02,186,421.16,200,222.6,77.8,78.3,337.9,13.8,255.18,65.6,65,102.2,110.4,80
2019-03-06 10:53:06,2.670606093,17.24,23.53,11.54,200,963,247,1245.381787,72.20000011,72.62578197,49.38303911,10.54208627,422.0340796,77.02564794,75.0225937,12.59,236,601.11,257,211.0675469,69.0116604,69.92985171,73.26662272,13.92298979,242.9929977,69.94404313,60.01701219,9.02,186,421.16,200,212.9069631,77.84496605,78.25508719,333.2381973,13.82717992,254.9295489,65.58166706,65.00000273,102.2003303,110.0553303,80
2019-03-06 10:53:06,2.669794117,17.24,23.53,11.54,200,963,247,1241.587658,72.20000021,72.67421803,49.10871583,10.54405308,428.0561887,77.07435206,75.06650695,12.59,236,601.11,257,198.8938312,69.00541608,69.94089066,73.04763369,13.86614683,243.293939,69.91685441,60.04433426,9.02,186,421.16,200,205.4710134,77.81855848,78.28165113,339.7890928,13.81555856,254.8415781,65.55512612,65.00000667,102.2008902,109.9612652,80
2019-03-06 10:53:06,2.67,17.24,23.53,11.54,200,963,247,1242.81,72.2,72.7,48.84,10.52,433.14,77.1,75.1,12.59,236,601.11,257,197.1,68.99,69.92,72.88,13.87,244.5,69.9,60,9.02,186,421.16,200,201.1,77.8,78.3,344.22,13.75,254.67,65.6,65,102.2,110.4,80
2019-03-06 10:53:07,2.67,17.24,23.53,11.54,200,963,247,1247.91,72.2,72.7,48.7,10.48,436.09,77.1,75.1,12.59,236,601.11,257,207.85,68.97,69.88,72.81,13.93,245.88,69.9,59.9,9.02,186,421.16,200,202.58,77.8,78.3,344.07,13.66,254.45,65.7,65,102.2,111.1,80
2019-03-06 10:53:08,2.67,17.24,23.53,11.54,200,963,247,1244.76,72.2,72.7,49.24,10.48,435.27,77.1,75,12.59,236,601.11,257,222.53,68.97,69.91,72.81,13.92,242.5,69.9,59.9,9.02,186,421.16,200,220.08,77.8,78.3,341.1,13.72,254.46,65.7,65,102.2,110.6,80
2019-03-06 10:53:09,2.67,17.24,23.53,11.54,200,963,247,1241.45,72.2,72.7,49.64,10.48,421.73,77.1,75,12.59,236,601.11,257,222.02,68.97,69.91,72.81,13.86,240.52,70,59.9,9.02,186,421.16,200,222.84,77.8,78.3,347.92,13.79,253.91,65.7,65,102.2,111,80
2019-03-06 10:53:10,2.67,17.24,23.53,11.54,200,963,247,1245.12,72.2,72.7,49.91,10.52,436.07,77.2,75,12.59,236,601.11,257,214.56,68.97,69.89,72.94,13.91,244.02,70,59.9,9.02,186,421.16,200,213.66,77.9,78.3,337.16,13.62,253.74,65.7,65,102.6,111.1,80
2019-03-06 10:53:11,2.75,17.24,23.53,11.54,200,963,247,1246.78,72.2,72.7,49.51,10.52,425.97,77.2,75,12.59,236,601.11,257,210.59,68.98,69.81,72.75,13.93,244.68,70.1,59.9,9.02,186,421.16,200,209.75,77.9,78.3,340.71,13.89,253.65,65.7,65,102.6,111,80
2019-03-06 10:53:12,2.75,17.24,23.53,11.54,200,963,247,1252.28,72.2,72.7,48.84,10.52,435.19,77.2,75.1,12.59,236,601.11,257,224.84,69,69.81,72.81,13.91,239.48,70,59.9,9.02,186,421.16,200,220.37,77.9,78.3,336.53,13.6,254.35,65.7,65.1,102.6,111.3,80
2019-03-06 10:53:13,0,17.24,23.53,11.54,200,963,247,1257.36,72.2,72.7,48.84,10.45,432.99,77.2,75.1,12.59,236,601.11,257,226.85,68.99,69.83,73,13.86,237.62,70.1,59.9,9.02,186,421.16,200,221.28,78,78.3,345.43,13.84,253.63,65.7,65.1,102.6,111.3,80
2019-03-06 10:53:14,0,17.24,23.53,11.54,200,963,247,1243.74,72.3,72.7,49.64,10.48,439.3,77.2,75.1,12.59,236,601.11,257,212.85,68.96,69.81,72.69,13.86,242.38,70.2,59.9,9.02,186,421.16,200,214.99,78,78.3,353.4,13.79,253.01,65.7,65.1,102.6,111.8,80
2019-03-06 10:53:15,0,17.24,23.53,11.54,200,963,247,1249.4,72.3,72.7,49.37,10.48,421.63,77.3,75.1,12.59,236,601.11,257,225.65,68.98,69.77,72.56,13.92,244.02,70,60,9.02,186,421.16,200,212.59,78,78.3,346.5,13.78,253.64,65.7,65.1,102.6,111.3,80
2019-03-06 10:53:16,2.71,17.24,23.53,11.54,200,963,247,1207.77,72.3,72.7,49.37,10.52,431.12,77.3,75.1,12.59,236,601.11,257,216.81,69.01,69.83,72.69,13.89,238.57,70.2,60,9.02,186,421.16,200,203.06,78,78.3,350.62,13.78,252.89,65.7,65.1,103.1,111.6,80
2019-03-06 10:53:17,2.71,17.24,23.53,11.54,200,963,247,1134.89,72.3,72.7,48.84,10.52,427.93,77.3,75.1,12.59,236,601.11,257,219.04,68.98,69.69,73.13,13.89,237.43,70.1,60.1,9.02,186,421.16,200,234.3,78.1,78.3,342.6,13.55,253.52,65.8,65.1,103.1,111.1,80
2019-03-06 10:53:18,2.71,17.24,23.53,11.54,200,963,247,1246.27,72.3,72.7,48.97,10.48,433.71,77.3,75.1,12.59,236,601.11,257,199.11,68.98,69.72,72.75,13.94,240.87,70.3,60.1,9.02,186,421.16,200,214.71,78.1,78.3,334.36,13.53,252.85,65.8,65.1,103.1,111.5,80
2019-03-06 10:53:19,2.68,17.24,23.53,11.54,200,963,247,1246.37,72.3,72.7,48.7,10.45,430.82,77.4,75.1,12.59,236,601.11,257,194.29,68.97,69.72,72.38,13.93,243.37,70.4,60.1,9.02,186,421.16,200,194.2,78.1,78.3,345.07,13.62,252.4,65.8,65.1,103.4,111.8,80
2019-03-06 10:53:20,2.68,17.24,23.53,11.54,200,963,247,1247.26,72.3,72.7,49.1,10.52,439.28,77.4,75.1,12.59,236,601.11,257,230.32,68.97,69.71,72.63,13.9,242.82,70.1,60.2,9.02,186,421.16,200,196.54,78.1,78.3,341.41,13.47,252.13,65.8,65.1,103.4,111.6,80
2019-03-06 10:53:21,2.7,17.24,23.53,11.54,200,963,247,1217.6,72.3,72.7,49.1,10.52,428.76,77.4,75.1,12.59,236,601.11,257,217.53,68.98,69.7,72.94,13.85,240.57,70.4,60.2,9.02,186,421.16,200,213.95,78.2,78.3,339.63,13.62,251.53,65.8,65.1,103.4,111.9,80
2019-03-06 10:53:22,2.7,17.24,23.53,11.54,200,963,247,1222.42,72.3,72.7,49.1,10.52,421.37,77.4,75.1,12.59,236,601.11,257,214.58,68.99,69.71,73,13.94,238.87,70.2,60.2,9.02,186,421.16,200,227.33,78.2,78.3,343.45,13.7,252.1,65.8,65.1,102.9,111.3,80
2019-03-06 10:53:23,2.69,17.24,23.53,11.54,200,963,247,1034.48,72.3,72.7,48.7,10.48,430.59,77.4,75.1,12.59,236,601.11,257,195.46,68.97,69.62,72.75,13.92,242.42,70.4,60.2,9.02,186,421.16,200,205.64,78.2,78.3,343.46,13.7,251.36,65.8,65.1,102.9,111.6,80
2019-03-06 10:53:24,2.69,17.24,23.53,11.54,200,963,247,1213.23,72.3,72.7,48.43,10.48,434.32,77.5,75.1,12.59,236,601.11,257,219.6,68.97,69.62,72.31,13.87,243.15,70.2,60.3,9.02,186,421.16,200,209.79,78.3,78.3,337.56,13.66,251.55,65.8,65.1,102.9,112,80
2019-03-06 10:53:25,2.69,17.24,23.53,11.54,200,963,247,1224.42,72.3,72.6,48.3,10.48,433.69,77.5,75.1,12.59,236,601.11,257,214.54,68.97,69.54,72.81,13.85,238.98,70.3,60.3,9.02,186,421.16,200,194.23,78.3,78.3,344.52,13.66,251.34,65.8,65.1,103.3,111.8,80
2019-03-06 10:53:26,2.7,17.24,23.53,11.54,200,963,247,1246.69,72.3,72.6,48.57,10.52,420.96,77.5,75.1,12.59,236,601.11,257,220.74,68.97,69.47,72.69,13.86,237.52,70.5,60.3,9.02,186,421.16,200,213.96,78.3,78.3,341.7,13.69,250.92,65.8,65.1,103.3,111.8,80.1
2019-03-06 10:53:27,2.7,17.24,23.53,11.54,200,963,247,1236.19,72.3,72.6,48.7,10.52,434.7,77.5,75.1,12.59,236,601.11,257,215.65,68.98,69.53,72.94,13.91,241.5,70.4,60.3,9.02,186,421.16,200,223.64,78.3,78.3,341.32,13.66,251.34,65.9,65.1,103.3,111.6,80
2019-03-06 10:53:28,2.7,17.24,23.53,11.54,200,963,247,1241.22,72.4,72.6,47.62,10.52,423.68,77.5,75.1,12.59,236,601.11,257,204.6,68.94,69.47,72.5,13.89,242.77,70.5,60.3,9.02,186,421.16,200,209.95,78.3,78.3,344.92,13.62,250.8,65.9,65.1,103.3,111.7,80
2019-03-06 10:53:29,2.7,17.24,23.53,11.54,200,963,247,1231.75,72.4,72.6,47.76,10.48,432.14,77.6,75.1,12.59,236,601.11,257,218.34,69.01,69.44,72.75,13.92,236.4,70.4,60.3,9.02,186,421.16,200,212.46,78.4,78.3,337.63,13.75,250.85,65.9,65.1,103.3,111.4,80
2019-03-06 10:53:30,2.7,17.24,23.53,11.54,200,963,247,1242.61,72.4,72.6,47.89,10.48,431.37,77.6,75.1,12.59,236,601.11,257,213.13,68.98,69.42,72.94,13.87,235.62,70.5,60.3,9.02,186,421.16,200,206.63,78.4,78.3,334.67,13.67,251.33,65.9,65.1,103.3,111.6,80
2019-03-06 10:53:31,2.7,17.24,23.53,11.54,200,963,247,1247.13,72.4,72.6,48.16,10.48,436.75,77.6,75.1,12.59,236,601.11,257,188.82,69,69.43,72.75,13.92,240.17,70.6,60.2,9.02,186,421.16,200,218.78,78.4,78.3,345.75,13.75,250.55,65.9,65.1,103.5,111.4,80
2019-03-06 10:53:32,2.7,17.24,23.53,11.54,200,963,247,1242.94,72.4,72.6,48.7,10.48,420.54,77.6,75.1,12.59,236,601.11,257,182.02,68.97,69.43,72.63,13.93,241.78,70.5,60.2,9.02,186,421.16,200,179.45,78.4,78.3,350.67,13.63,251.25,65.9,65.1,103.5,111.9,80
2019-03-06 10:53:33,2.71,17.24,23.53,11.54,200,963,247,1234.27,72.4,72.6,47.76,10.48,425.71,77.6,75.1,12.59,236,601.11,257,210.02,69,69.32,72.81,13.91,238.9,70.6,60.2,9.02,186,421.16,200,219.28,78.5,78.3,344.48,13.76,250.56,65.9,65.1,103.5,112.4,80.1
2019-03-06 10:53:34,2.71,17.24,23.53,11.54,200,963,247,1140.22,72.4,72.6,47.36,10.52,425.94,77.7,75.1,12.59,236,601.11,257,225.28,68.97,69.3,73.06,13.91,237.78,70.6,60.1,9.02,186,421.16,200,205.21,78.5,78.3,346.55,13.73,250.54,65.9,65.1,103.6,111.3,80.1
2019-03-06 10:53:35,2.69,17.24,23.53,11.54,200,963,247,1244.96,72.4,72.6,47.22,10.52,431.37,77.7,75.1,12.59,236,601.11,257,220.66,68.95,69.33,73,13.91,238.43,70.6,60.1,9.02,186,421.16,200,215.67,78.5,78.3,339.42,13.63,250.56,65.9,65.1,103.6,111.9,80.1
2019-03-06 10:53:36,2.69,17.24,23.53,11.54,200,963,247,1245.84,72.4,72.5,48.03,10.52,427.87,77.7,75.1,12.59,236,601.11,257,202.1,69,69.3,72.44,13.85,241.47,70.6,60,9.02,186,421.16,200,208.8,78.5,78.3,335.87,13.66,250.35,65.9,65.1,103.6,111.5,80.1
2019-03-06 10:53:37,2.69,17.24,23.53,11.54,200,963,247,1247.38,72.4,72.5,48.16,10.48,435.19,77.7,75.1,12.59,236,601.11,257,210.61,68.95,69.22,72.63,13.92,242.3,70.7,60,9.02,186,421.16,200,210.48,78.5,78.3,342.44,13.78,250.6,66,65.1,103.6,112.1,80.1
2019-03-06 10:53:38,2.72,17.24,23.53,11.54,200,963,247,1247.74,72.4,72.5,48.43,10.48,427.19,77.7,75.1,12.59,236,601.11,257,220.01,68.97,69.2,72.63,13.87,239.38,70.6,59.9,9.02,186,421.16,200,220.19,78.6,78.3,343.75,13.56,250.56,66,65.1,103.6,111.7,80.1
2019-03-06 10:53:39,2.72,17.24,23.53,11.54,200,963,247,1246.36,72.4,72.5,47.22,10.52,417.46,77.8,75.1,12.59,236,601.11,257,215.32,68.97,69.09,72.75,13.87,237.38,70.8,59.9,9.02,186,421.16,200,224.2,78.6,78.3,337.53,13.63,250.15,66,65.1,103.6,111.8,80.1
2019-03-06 10:53:40,2.72,17.24,23.53,11.54,200,963,247,1171.1,72.4,72.5,46.95,10.52,428.26,77.8,75.1,12.59,236,601.11,257,212.48,68.97,69.06,72.69,13.89,240.73,70.6,59.9,9.02,186,421.16,200,212.58,78.6,78.3,343.91,13.82,250.54,66,65.1,103.7,112.3,80.1
2019-03-06 10:53:41,2.71,17.24,23.53,11.54,200,963,247,1249.77,72.4,72.5,47.49,10.52,430.57,77.8,75.1,12.59,236,601.11,257,213.81,68.97,69.06,72.25,13.91,241.78,70.7,59.8,9.02,186,421.16,200,204.54,78.6,78.3,343.61,13.67,249.77,66,65.1,103.7,111.4,80.1
2019-03-06 10:53:42,2.71,17.24,23.53,11.54,200,963,247,1245.59,72.4,72.5,47.76,10.52,417.46,77.8,75.1,12.59,236,601.11,257,210.09,69.01,69.07,72.56,13.85,235.92,70.9,59.8,9.02,186,421.16,200,224.1,78.6,78.3,345.48,13.64,250.31,66,65.1,103.7,112,80.1
2019-03-06 10:53:43,2.73,17.24,23.53,11.54,200,963,247,1242.46,72.4,72.5,48.03,10.48,431.73,77.8,75.1,12.59,236,601.11,257,219.83,68.96,69.06,72.81,13.85,234.78,70.7,59.8,9.02,186,421.16,200,224.42,78.7,78.3,343.91,13.65,249.79,66,65.1,103.8,111.8,80.1
2019-03-06 10:53:44,2.73,17.24,23.53,11.54,200,963,247,1237.5,72.4,72.5,47.36,10.52,421.98,77.8,75.1,12.59,236,601.11,257,224.79,68.98,69.07,72.75,13.9,239.87,70.9,59.8,9.02,186,421.16,200,224.85,78.7,78.3,337.72,13.68,249.83,66,65.1,103.8,111.6,80.1
2019-03-06 10:53:45,2.7,17.24,23.53,11.54,200,963,247,1237.31,72.4,72.4,47.22,10.55,429.03,77.9,75.1,12.59,236,601.11,257,211.08,68.99,69.08,72.5,13.92,240.95,70.7,59.9,9.02,186,421.16,200,210.46,78.7,78.3,343.89,13.6,249.79,66,65.1,103.8,112,80.1
2019-03-06 10:53:46,2.7,17.24,23.53,11.54,200,963,247,1237.76,72.4,72.4,47.36,10.52,428.39,77.9,75.1,12.59,236,601.11,257,211.11,68.99,69.06,72.44,13.86,236,71,59.9,9.02,186,421.16,200,219.62,78.7,78.3,341.35,13.81,249.79,66,65.1,103.9,111.6,80.1
2019-03-06 10:53:47,2.7,17.24,23.53,11.54,200,963,247,1247.49,72.4,72.4,47.62,10.48,434.66,77.9,75.1,12.59,236,601.11,257,216.86,69.01,69.11,73,13.86,234.87,71,59.9,9.02,186,421.16,200,211.31,78.7,78.3,332.02,13.73,249.81,66,65.1,103.9,112,80
